player,season,season_name,salary,agency,agent,salary_amnesty,league,team,player_off_roster_13_14,id_contract_type
Gerald Wallace,2016,2015-2016,10105855,Landmark Sports Agency,Rob Pelinka,FALSE,nba,Celtics,FALSE,G
Jared Sullinger,2014,2013-2014,1365720,FAME,David Falk,FALSE,nba,Celtics,FALSE,G
Jared Sullinger,2015,2014-2015,1424520,FAME,David Falk,FALSE,nba,Celtics,FALSE,TO
Jared Sullinger,2016,2015-2016,2269260,FAME,David Falk,FALSE,nba,Celtics,FALSE,TO
Jared Sullinger,2017,2016-2017,3270004,FAME,David Falk,FALSE,nba,Celtics,FALSE,QO
Jeff Green,2014,2013-2014,8700000,FAME,David Falk,FALSE,nba,Celtics,FALSE,G
Jeff Green,2015,2014-2015,9200000,FAME,David Falk,FALSE,nba,Celtics,FALSE,G
Jeff Green,2016,2015-2016,9200000,FAME,David Falk,FALSE,nba,Celtics,FALSE,PO
Jordan Crawford,2014,2013-2014,2162419,Creative Artists Agency,Aaron Mintz,FALSE,nba,Celtics,FALSE,G
Jordan Crawford,2015,2014-2015,3206867,Creative Artists Agency,Aaron Mintz,FALSE,nba,Celtics,FALSE,QO
Keith Bogans,2014,2013-2014,5058198,Relativity Sports,Dan Fegan,FALSE,nba,Celtics,FALSE,G
Keith Bogans,2015,2014-2015,5285817,Relativity Sports,Dan Fegan,FALSE,nba,Celtics,FALSE,U
Keith Bogans,2016,2015-2016,5513435,Relativity Sports,Dan Fegan,FALSE,nba,Celtics,FALSE,U
Kelly Olynyk,2014,2013-2014,1986360,Wasserman Media Group,Arn Tellem,FALSE,nba,Celtics,FALSE,G
Kelly Olynyk,2015,2014-2015,2075760,Wasserman Media Group,Arn Tellem,FALSE,nba,Celtics,FALSE,G
Kelly Olynyk,2016,2015-2016,2165160,Wasserman Media Group,Arn Tellem,FALSE,nba,Celtics,FALSE,TO
Kelly Olynyk,2017,2016-2017,3094013,Wasserman Media Group,Arn Tellem,FALSE,nba,Celtics,FALSE,TO
Kelly Olynyk,2018,2017-2018,4279021,Wasserman Media Group,Arn Tellem,FALSE,nba,Celtics,FALSE,QO
Kris Humphries,2014,2013-2014,12000000,Wasserman Media Group,Arn Tellem,FALSE,nba,Celtics,FALSE,G
MarShon Brooks,2014,2013-2014,1210080,Verus Management Team,Seth Cohen,FALSE,nba,Celtics,FALSE,G
MarShon Brooks,2015,2014-2015,2179354,Verus Management Team,Seth Cohen,FALSE,nba,Celtics,FALSE,TO
MarShon Brooks,2016,2015-2016,3201471,Verus Management Team,Seth Cohen,FALSE,nba,Celtics,FALSE,QO
Phil Pressey,2014,2013-2014,490180,Creative Artists Agency,Aaron Mintz,FALSE,nba,Celtics,FALSE,G
Phil Pressey,2015,2014-2015,816482,Creative Artists Agency,Aaron Mintz,FALSE,nba,Celtics,FALSE,U
Phil Pressey,2016,2015-2016,947276,Creative Artists Agency,Aaron Mintz,FALSE,nba,Celtics,FALSE,U
